SYMBOL,NAME OF COMPANY
International Securities Ltd.,INTSE
Beta Corporation Ltd,BETACOR
Emkay Aromatics ltd.,EMKAR
Sun Granite Export Limited,SUNGRAN
Venmax Drugs And Pharmaceuticals Ltd,VENMAX
Arihants Securities ltd.,ARISE
Shree Jagdambe Paper Mills Ltd.,SHJAGDM
Kuber Floritech Ltd.,KUBERFL
Taurus the Genshare-[redeemed on 7/3/200]ltr2/9/00,TAURGEN
Visagar Financial Services Ltd,VISAGAR
Libord Securities Ltd.,LIBORD
Bharat Textiles & Proofing Industri,BHATEXT
Welworth Electric Co.Ltd.,WELWORT
Regal Entertainment & Consultants Ltd.,REGAL
ERAAYA LIFESPACES LIMITED,ERAAYA
Swadha Nature Limited,SWADHATURE
Competent Automobiles Co. Ltd.,COMPEAU
Dhanvantri Jeevan Rekha Ltd.,ZDHJERK
Premier Laminates Ltd.,PRLAMIN
Advance PowerInfra Tech Limited,ADVPOWER
Neelkanth Rockminerals ltd.,NEELKAN
Vintage Securities Ltd.,VINTAGES
India International Marketing Centre Ltd,INDIM
GFL Financials India Limited,GFLFIN
Ritesh Polyesters Ltd.,RITESPL
Hatigor Tea Estates ltd.,HATIGOR
India E-Commerce Ltd.,INDECOM
Progressive Steels (India) ltd.,PRSTEEL
Oswal Overseas Ltd,OSWALOR
Contil India Limited,CONTILI
Vijay Solvex Ltd.,VIJSOLX
Blue diamond Securities & Finance l,BLUEDIA
Nu Tech Organic Chemicals Limited,NUTEORG
NEPC Paper And Board Ltd.,NEPCPAPER
Ravraj Impex Ltd.,RAVRAJI
Shri Krishna Devcon Limited,SHRIKRISH
Alankit Limited,ALANKIT
Nihar Info Global Ltd.,NIHARINF
Indo Bonito Multinational Limited,INDOBONIT
Lakhani India Ltd.,LAKHANI
Napa Papers ltd.,NAPAPER
Kashyap Fiscal Services ltd.,KASHYAP
Tulip Star Hotels Ltd.,TULIPSTA
Swissen Interspace Ltd.,SWISSEN
United Credit ltd.,UNITDCR
OM INFRA LIMITED,OMINFRAL
Optel telecommunications Ltd.,OPTEL
Harbor Network Systems Ltd.,HARBORNE
Prime Metals Ltd.,PRIMETA
Mount Everest Mineral Water Ltd.,MOUNTEVE
Jiwan Flora Ltd.,JIWANFL
Checkpoint Trends Limited,CHECKPOINT
Surana Corporation Ltd.,SURANACORP
Liberal Finlease Ltd.,LIBERAL
Gujarat Project & Profins Ltd,GJPROFN
Ishan Dyes and Chemicals Limited,ISHANCH
Gothi Plascon (India) Ltd.,GOTHIPL
BALU FORGE INDUSTRIES LIMITED,BALUFORGE
Karnavati Spinners Ltd.,KARSPIN
GDR Media Ltd.,GDRMEDIA
Synergy Cosmetics (Exim) Ltd.,SYNERGY
Khemsons Global Ltd.,KHEMGLB
Pacific Cotspin Ltd.,SILSPL
Ceenik Exports (india) Ltd.,CEENIK
Patel Engineering Ltd,PATELENG
Sierra Optima Ltd,SIEOP
Gold Star Straw Products Ltd.,GLDSTRW
Stallion Garments Export Ltd.,STALGAR
Sahas Cements Ltd.,SAHACEM
Bluegold Maritech (international) L,BLUMARI
Virtualsoft Systems Ltd.,VIRTUALS
MENA MANI INDUSTRIES LIMITED,MENAMANI
Indusmin Foods Ltd.,INDFO
Inani Marbles & Industries Ltd.,INANI
Modi Hoover International Ltd.,MODIHOOV
Mascon Global Ltd,MASCONGLO
Containerway International Ltd.,CONTAIN
Asiatic Food (Exports) Ltd.,ASIFE
Le Waterina Resorts & Hotels Limited,LEWATERIN
Pittsburgh Iron and Steels Limited,PITTSIRON
Sparkling (India) Finshares Ltd,SPARKSH
Gemstone Investments Ltd.,GEMSI
Coromandel Granite Co. Ltd.,COGRANI
Sri Jayalakshmi Spinning Mills ltd.,SRJTC
Chirau Finance Investment and Leasi,CHIRAUF
Esenes Forgings Ltd.,ESENESF
El Forge Ltd.,ELFORGE
Medicamen Biotech Ltd.,MEDICAMEQ
Alicon Castalloy Limited,ALICON
Enchante Jewellery Ltd.,ENCHANTE
Shree Rang Mark Travels Limited,SRANGMARK
Asia Corp Securities Ltd.,ASCORPS
Lympha Laboratories Ltd..,LYMPHALDM
Stiles India Limited,STILESI
Diligent Industries Limited,DILIGENT
Epsom Properties Limited,EPSOMPRO
Alfavision Overseas (India) Ltd.,ALFAVIO
Organic Coatings Ltd.,ORGCOAT
Catvision Limited,CATVISION
JMP Castings Ltd.,JMPCAST
Saumya Capital Limited,SAUMYACAP
ABM Knowledgeware Ltd.,ABMKNO
Emami Ltd,EMAMILTD
Kemistar Corporation Limited,KEMISTAR
Laser Diamonds Ltd.,LADIAMO
Kalinga Cement ltd.,KALINGA
MFL Stock Broking Ltd.,MFLSTBR
Orient Information Technology Ltd.,ORIENTINFO
Associated Ceramics Ltd.,ASSOCER
SKP Securities Ltd.,SKPSEC
Trezer Oil Agro Tech Ltd.,TREZERO
Devika Proteins Ltd.,DEVIKA
Pranavaditya Spg Mills Ltd.,PRANAVSP
Syschem (India) Ltd.,SYSCHEM
SRPL Ltd.,SRPLLTD
BLS Infotech Limited,BLSINFOTE
Mefcom Capital Markets Ltd.,MEFCOMCAP
Hemang Resources Limited,HEMANG
Arman Financial Services Limited,ARMANFIN
Apple Amusement Industries Ltd.,APAMUSE
Alfa Export Technologies (India) Lt,ALFAEXPDM
Mangal Knits Ltd.,MANKNIT
SSK Fiscal Services Ltd.,SSKFISC
Chicago Software Industries Ltd,CHISO
Swet -Chem Antibiotics Ltd.,SWETCHM
Clarity Financial Services Ltd.,CLAFS
Gujarat Bulk Packs ltd,GUJBP
Tavernier Resources Limited,TAVERNIER
Filtron Engineers Ltd.,FILTRON
Midas Infra Trade Limited,MIDINFRA
Rajhans Foods Ltd.,RAJHANS-B
Brahmaputra Infraproject Limited,BRAHMAINF
Vedvyas Cement Ltd.,VEDVYAS
Gagan Polycot India Ltd.,GAGANPO
Goodearth Financial Services Ltd.,GOEAFIN
Dhanada Corporatin Limited,DHANADACO
Glance Finance Ltd.,GLANCE
Maplle Infraprojects Ltd.,MAPLLEINF
Shilchar Technologies Ltd.,SHILCTECH
Ambe Hotels And Resorts Ltd.,AMBEHOT
TRADEWELL HOLDINGS LIMITED,TRADEWELL
Rizvi Exports Ltd.,RIZVIEX
SPRIGHT AGRO LIMITED,SPRIGHT
Kwality Credit & Leasing Ltd.,KWALITYCL
Raymed Labs. Ltd.,RAYLA
Primus Chemicals Ltd.,PRIMUSC
Nucleus Software Exports Ltd,NUCLEUS
Colinz Laboratories ltd.,COLINZ
Wellness Noni Limited,WELLNESS
Nalin Lease Finance Ltd.,NLFL
Manappuram Finance Limited,MANAPPURAM
Kanohar Electricals Ltd.,KANELEC
RTS Power Corporation Ltd.,RTSPOWR
Comfort Intech Ltd,COMFINTE
Western India Shipyard Ltd.,WESTE
Rishab Financial Services Ltd,RISHABFIN
Shyama Computronics and Services Limited,SHYAMACOMP
Hics Cements Ltd.,HICSCEM
Mayur Floorings Ltd.,MAYURFL
Vibrant Investment & Properties Ltd,VIBINVEDM
Anjani Synthetics Limited,ANJANI
Computech International Ltd.,COMPUTECH
XTGLOBAL INFOTECH LIMITED,XTGLOBAL
Doon Valley Rice Ltd.,DOONVAL
Deco-Mica Ltd.,DECOMIC
Rander Corporation Ltd.,RANDER
SBI Magnum Bond Fund 1994,ZSBIMAGB
Siddhi Vinayak Dairy & Food Product,SIDVINF
Jindal Drugs Ltd.,JINDRUG
Rasi Electrodes Ltd.,RASIELEC
SCOOBEE DAY GARMENTS (INDIA) LIMITED,SCOOBEEDAY
Citiport Financial Services Ltd.,CITIPOR
Mewar Polytex Ltd.,MEWARPOL
Dhruva Capital Services Ltd.,DHRUVCA
Betalact Laboratories Ltd.,BETALAB
Shamrock Industrial Co. Ltd.,SHAMROIN
LINC LIMITED,LINC
Gummadi Industries ltd.,GUMINDL
Koratla Leasefin India Ltd.,KORATLS
Janzen Castmetals Ltd.,JANZNMT
Prima Industries Ltd.,PRIMAIN
Alpha Hi-Tech Fuel Ltd.,ALPHA
Well Pack Papers & Containers Ltd.,WLPACKP
RNB Industries Limited,RNBIND
Pebble Investment And Finance ltd.,PEBBLEI
ANERI FINCAP LIMITED,ANERI
India Gelatine & Chemicals Ltd.,INDGELA
Optimus Finance Limited,OPTIFIN
Paragon Finance Ltd.,PARAGONF
Praveen Properties Ltd.,PRAVEEN
Pratiksha Chemicals Ltd.,PRATIKSH
Kpr Teleproducts Ltd.,KPRTLPR
Esha Media Research Limited,ESHAMEDIA
Refex Renewables & Infrastructure Limited,REFEXRENEW
Concurrent (India) Infrastructure Limited,CONCURINF
Surya Industrial Corporation Ltd.,SURINDL
Anasuya Spinners Ltd.,ANSUSPNDM
Pioneer Cashew Industries Ltd.,PIOCASH
PROGREX VENTURES LIMITED,PROGREXV
V.S.T.Tillers Tractors Ltd.,VSTTILLERS
Indo Vanillon Chemicals Ltd.,INDVANI
B2B Software Technologies Ltd.,B2BSOFT
KLG Systel ltd.,KLGSYSTEL
Dazzel Confindive ltd.,DAZZEL
Nikki Global Finance Ltd.,NIKKIGL
Radhe Developers (India) ltd.,RADHEDE
Kinetic Trust Ltd.,KINETRU
Bombay Swadeshi Store Ltd.,BOMSS
Realtime Finlease ltd.,RETIFNL
Elixir Capital Limited,ELIXIR
Trishakti Industries Limited,TRISHAKT
Pankaj Polymers Ltd.,PANKAJPO
MARBLE CITY INDIA LIMITED,MARBLE
Virgo Polymers (India) Ltd.,VIRPOLY
Cindrella Financial Services Ltd.,CINDRELL
Hitesh Textile Mills ltd.,HITESTX
Asian Lakto Industries Ltd.,ASLAKTO
ADHATA GLOBAL LIMITED,ADHHATA
National Plastic Technologies Ltd,NATPLASTI
Lead Financial Services  Ltd,LEADFIN
National Fittings Limited,NATFIT
Shreeji Dyechem Ltd.,SHDYECH
Reacto Papers India ltd.,REACTOP
Nalin Chemicals Ltd.,NALINCH
Pramada Finvest Ltd.,PRAMFIN
VSM Finance & Exports Ltd.,VSMFNEX
Sunlake Resorts and Hotels Ltd.,SUNLAKE
Maxworth Orchards International Ltd,MXORCHADM
Artefact Projects Ltd,ARTEFACT
Kinjal Metals Ltd.,KINJAMT
Century Laminating Co. Ltd.,CENLC
Amit International Ltd.,AMITINT
High Street Filatex Limited,HIGHSTREE
Rich Stones (india) Ltd.,RICHSTODM
Nutech Global Ltd.,NUTECGLOB
Global Exhibitions ltd.,GLOBALX
DHP India Ltd.,DHPIND
RRIL LIMITED,RRIL
Available Finance Ltd.,AVAILFC
Rahil Investment & Finance Ltd.,RAHILIN
Sanraa Media Limited,SANRAA
Sparkle Foods Ltd.,SPARKFD
INTEGRA CAPITAL LIMITED,INTCAPL
Ichalkaranji Soya Ltd.,ICHALSO
Sandur Laminates ltd.,SANDURL
German Gardens Ltd.,GERMANGA
Transcon Research And Infotech Ltd.,TRANSCON
Maruti Securities Ltd.,MARUTISE
Exotic Coal Limited,EXOTICCOAL
Amex Carbonates & Chemicals Ltd.,AMEXCHE
SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED,HAVISHA
JAYATMA INDUSTRIES LIMITED,JAYIND
Roselabs Finance Ltd.,ROSELABS
Vini Metaspin Steels Ltd.,VINIMETDM
M.P.Telelinks Ltd.,MPTELE
Charms Industries Ltd,CHARMS
KRETTO SYSCON LIMITED,KRETTOSYS
Cosmos Apparels Ltd.,COSAPAR
Dynamic Microsteppers Ltd.,DYNMICR
Time Shipping Ltd.,TIMESHI
Vikalp Securities Ltd.,VIKALPS
Zydus Wellness Limited,ZYDUSWELL
Auroma Coke ltd.,AUROCOK
WinPro Industries Limited,WINPRO
Milestone Global Limited,MILESTONE
Jaihind Projects Ltd.,JAIHINDPRO
Bervin Investments And Leasing Ltd.,BERVINL
Gujarat Investa Ltd.,GUJINV
Orbit Polyester Ltd.,ORBITPL
India Infraspace Ltd,INDINFRA
Container Corporation Of India Ltd.,CONCOR
Sunrise Zinc Ltd.,SUNZI
Eastern Treads Ltd.,EASTRED
Harshita Ltd.,HARSHIT
Moon Drugs Ltd.,MOONDRUG
Panacea Biotec Ltd.,PANACEABIO
Volga Airtechnics Ltd.,VOLGAAIR
Shree Rajasthan Texchem Ltd.,SHRAJTX
Peeti Securities Ltd.,PEETISEC
M.K.Securities Ltd.,MKSECUR
PNC Capital Trust Ltd.,PNCCAP
Dhanlaxmi Lease Finance Ltd.,DHANLEA
Cure Spects Lasers Ltd.,CURESPEC
MERCURY EV-TECH LIMITED,MERCURYEV
Choice International Ltd,CHOICEIN
Shriram Asset Management Co.Ltd.,SRAMSET
Golechha Global Finance Ltd.,GOLECHA
E-Metals India Ltd.,EMETALSI
Indian Seamless Metal Tubes Limited,ISMTL
Karur K.C.P. Packkagings Limited,KARURKCP
Ekansh Concepts Limited,EKANSH
Naisargik Agritech (India) Ltd.,NAISARG
Kohinoor Broadcasting Corporation Ltd.,KOHINOORBRO
Dollex Industries Ltd.,DOLLEX
Crystal Cable Industries Ltd.,CRYCABL
Wellwin Industry Ltd.,WELLWININD
SPARC ELECTREX LIMITED,SPAR
Rushabh Precision Bearings Ltd.,RUPEBAR
Biowin Pharma (India) Ltd.,BIOWIN
The Byke Hospitality    Ltd,BYKE
SAAG RR Infra Ltd.,SAAGRR
GCCL Infrastructure & Projects Ltd.,GCCLINP
Cherry Fashions Ltd.,CHERYFS
Avi Export (India) Ltd,AVIEXPODM
Centenial Surgical Suture Ltd.,CSURGSU
Arihant Foundations & Housing Ltd.,ARIHANT
Jayavant Products Limited,JAVNTPR
North Star Gems (India) Ltd.,NORSTGM
Fluidclean Industries (India) Ltd,FLCLENT
Hasti Finance Ltd.,HASTIFIN
Shree Benzophen Industries Ltd.,SHBENZO
Upsurge Investment And Finance Ltd.,UPSURGE
Ratnabali Capital Markets ltd.,RATNABAL
Asian Flora Ltd.,ASFLORA
Krystal Knitwear Ltd.,KRYKNIT
Marvel Vinyls Ltd,MARVINY
Padam Cotton Yarns Ltd.,PADAMCO
Women Networks Ltd.,WOMENNET
Polycon International Ltd.,POLYCON
Source Natural Foods & Herbal Suppl Ltd,SOURCENTRL
G.G.Automotive Gears Ltd.,GGAUTO
Almondz Global Securities Limited,ALMONDZ
Khodiyar Industries ltd.,KHODIYAR
LWS Knitwear Ltd,LWSKNIT
Zicom Electronic Security Systems l,ZICOM
Sugam Agro-Tech ltd.,SUGAT
ANS Limited,ANSINDUS
Hallmark Drugs & Chemicals ltd.,HAMARDG
Parmax Pharma Ltd.,PARMXPH
Alchemist Corporation Ltd,ALCHCORP
Gujarat Foils Ltd.,GUJFOIL
Tuni Textile Mills Ltd.,TUNITEX
Radix Industries (India) Limited,RADIXIND
Kiran Print-Pack Ltd.,KIRANPR
M.S. Investments ltd.,MSINVES
NRS Textile Mills Ltd.,NRSTEXT
Narendra Properties Ltd.,NARPROP
Mega Corporation Ltd,MEGACOR
Systel Infotech Ltd.,SYSTELIN
Goplee Infotech Ltd.,GOPLEEIN
BMB Music & Magnetics Ltd.,BMBMUMG
Iggi Highway Motels Ltd.,IGHIGHM
Kesari Printers Ltd.,KESPRINT
Natural Biocon (India) Ltd.,NATUBIO
Ideal Hotels & Industries Ltd.,IDHOTIN
Maruti Cotex Ltd.,MRCOTEX
Tamil Nadu Newsprint And Papers Ltd,TNPL
Birmingham Thermotech Ltd.,BIRMT
Advent Computer Services ltd.,ADVENT
Southern Greenfields Ltd.,STGRFLD
Shakti Pumps (India) Ltd.,SHAKTIPUMP
Systematix Securities Ltd.,SYTIXSE
Sungold Capital Ltd.,SUNGOLD
Saffron Industries Limited,SAFFRON
Prakash Woollen & Synthetic Mills Ltd ,PWASML
Crystal Agritech Ltd.,CRYAGRI
AION-TECH SOLUTIONS LIMITED,GOLDTECH
Pan Drugs Ltd.,PANDRUG
Lyons Corporate Market Ltd.,LYONSCO
Amar Alcoholi Ltd.,AMRALCO
Tamarai Mills Ltd.,TAMRMIL
Vardhman Concrete Limited,VARDHMAN
Kedia Continental Ltd.,KEDICON
Rockon Enterprises Limited,ROCKONENT
Safal Securities Limited,SAFALSEC
GRM Overseas Ltd.,GRMOVER
Happy Home Profin Ltd.,HAPPYHMDM
NCC Finance Ltd.,NCCFIN
Mohit Industries Limited,MOHITIND
Polylink Polymers (india) Ltd.,POLYLINK
Prakash Fotran Softech Ltd,PRFOTRN
Minaxi Textiles Ltd.,MINAXI
Naraingarh Sugar Mills Ltd.,NARSM
Boston Bio Systems Ltd.,BOSTONBIO
Ventron Polymers Ltd.,VENTRON
Continental Controls Ltd.,CONTICON
Suvarna Apparel And Fashion Exports,SUAPARL
Bhagwandas Auto Finance Ltd.,BHAAF
Global Infratech & Finance limited,GBLINFRA
Ispat Profile India Ltd,ISPATPROF
Nouveau Global Ventures Limited,NOUVEAU
Fernhill Industries Ltd.,FERNHIL
Arnav Corporation Limited,ARNAVCORP
Prudential Stock Broking Services L,PRSBS
V.R.Mathur Mass Communications Ltd.,VMATHUR
Emporis Projects Limited,EMPORIS
Duke Offshore Ltd.,DUKEOFS
Cybele  Industries Limited,CYBELEIND
Cethar Industries Ltd.,CETHARI
Computer Skill Ltd.,COMPSKIL
Kamper Concast Ltd.,KAMPECO
Kanan Steels Ltd.,KANSTEL
Goa Fruit Specialities Ltd.,GOAFRUT
Esskay Telecom Ltd.,ESSKAY
Global Land Masters Corporation Ltd.,GLOBAL
Danin Leathers Ltd.,DANINLT
Beta-Kappa Investments Ltd.,BETKAPA
Shree Yaax Pharma And Cosmetics Ltd,SHYAAXPH
Virtual Industries Ltd.,VIRTIND
Hitkari China Ltd.,HITKARICH
Filmcity Media Ltd.,FILME
Shree Neelachal Laboratories Ltd.,SNEEL
Sanyo Impex Ltd.,SANIM
Cg-Vak Software & Exports Ltd.,CGVAK
BOB Growth '95 [Unit of BOB],BGROWTHDM
Pentasoft Technologies Ltd.,PENTASOFTTE
Maxworth Country (India) LTd.,MAXCOUN
NAVKAR URBANSTRUCTURE LIMITED,NAVKAR
Blue Coast Hotels Ltd,BLUECOAST
Omkar Overseas ltd.,OMKAR
Madhucon Projects Ltd.,MADHUCON
Classic Filaments ltd.,CLFILAM
Sybly Industries Ltd.,SYBLY
Rajesh Exports Ltd.,RAJESHEXPO
Indeen Alloys ltd.,INDENAL
Esaar (India) Ltd.,ESARIND
Maris Spinners Ltd.,MARIS
Great Western Industries Ltd.,GRWESIN
Indergiri Finance ltd.,INDERGR
Shukra Bullions Limited,SKRABUL
SOM Phytopharma (I) Ltd.,SOMPHYT
Eveready Industries India Ltd.,EVEREADY
Step Two Corporation Ltd.,STEP2COR
Lintas Mercantile Ltd.,LINTAS
Nevtia Spinners Ltd.,NEVTIAS
Orient Tradelink Ltd.,ORIENTTR
Arihant Classic Finance Ltd.,ARIHCLAF
Aasheesh Securities Ltd.,AASHEESH
Mahan Industries Ltd.,MAHANIN
Emkay Industries Ltd.,EMKAYIN
Alang Industrial Gases Ltd.,ALANGIND
VIKAS PROPPANT & GRANITE LTD.,VIKASPROP
Ankush Finstock ltd.,ANKUSHFI
Pan India Resorts & Land Developmen,PANIND
Desh Rakshak Aushdhalaya Ltd.,DESHRAK
Rasoya Proteins Ltd.,RASOYPR
Pal-Peugeot Ltd.,PALPEUG
I.C.S.A. (India) Ltd.,ICSA
Ace Software Exports ltd.,ACESOFT
Radiant Rotogravure Ltd.,RADRO
Lloyd Rockfibres Ltd.,LLORF
Maars Software International Ltd.,MAARSOFTW
Softrak Venture Investments Ltd.,SOFTRAKV
Betala Global Securities Ltd.,BETALA
Hatsun Agro Products Ltd.,HATSUN
Glory Chemicals Ltd.,GLORYCH
ACCEDERE LIMITED,ACCEDERE
American Remidies Ltd.,AMEREDM
Canvay Chemicals Ltd.,CANVYCH
Sriven Multi-Tech Ltd,SRIMT
Jyothi Infraventures Ltd.,JYOTHI
Shayona Petrochem Ltd.,SHAYONA
Rishabh Digha Steel And Allied Prod,RISHDIGA
Maruti Infrastructure Ltd.,MAINFRA
KOBO BIOTECH LIMITED,KOBO
Jindal Worldwide Ltd.,JINDWORLD
Vertex Spinning Limited,VERTEXSPG
"Suraj Stone Corporation Ltd,",SURSTON
Walvekar Farms & Food Products Ltd.,WALFARM
Tirupati Industries (India) Ltd,TIRIN
Somany Ceramics Limited,SOMANYCERA
Agrimas Chemicals Ltd.,AGRIMAS
Jhaveri Credits & Capital Ltd.,JHACC
Intercorp Industries Ltd.,INCORPI
Raghunath Tobacco Co. Ltd.,RAGHUTOB
DISHA RESOURCES LIMITED,DRL
Top Telemedia Ltd.,TOPTELE
Kamini Ispat Ltd.,KAMINIS
Coral India Finance And Housing Ltd,CORALFINAC
Amit Securities Ltd.,AMITSEC
Aroma Enterprises (India) Ltd.,AROMAENT
Akash Housing Ltd.,AKASHSG
Pam Raffia Ltd.,PAMRAFI
Welcome Coir Industries Ltd.,WELCO
Indo Pacific Projects Limited,INDOPACIFIC
Lilac Power Ltd.,LILACPW
Vizar Agrochemicals Ltd.,VIZARAG
Ashutosh Paper Mills Ltd.,ASHUTPM
Sanjivani Paranteral Ltd.,SANJIVIN
Blazon Marbles Limited,BLAZONMRB
Plus Finance Ltd.,PLUSFIN
Ranjit Securities Ltd.,RANJITSE
Crester Securities Ltd.,CRESTER
Vas Infrastructure  Ltd.,VASINFRA
HPM Industries Ltd.,HPMINDL
Mehta Caplease Ltd.,MTCAPLS
KMF Builders & Developers Ltd.,KMFBLDR
Kemicare  Products Ltd.,KEMICARE
Alka Diamond Industries Ltd.,ALKADIA
Beryl Securities Ltd,BERYLSE
Rap Media Ltd.,RAP
Marson's Textiles Ltd.,MARTEXT
Devine Impex Limited,DEVINE
Knitworth Exports Ltd.,KNIWE
Aditya International Ltd.,ADITYAIN
Genesis Developers & Resorts Ltd.,GEDEVEL
Bilpower Ltd.,BILPOWER
Bampsl Securities Ltd.,BAMPSL
GENPHARMASEC LIMITED,GENPHARMA
Arochem Silvassa Ltd.,AROCSIL
Incon Engineers Ltd.,INCON
Capri Global Capital Limited,CGCL
Vishal Agritech India Ltd.,VISALAG
Midland Polymers Ltd.,MIDPOLY
Nimbus Foods Industries Limited,NIMBUSFOO
FDC Ltd.,FDC
Gogia Capital Services Limited,GOGIACAP
GCV Services Limited,GCVSERV
Koffee Break Pictures Limited,KOFFBREAK
Sawaca Communication ltd.,SAWACA
Sri Skandan Industries Ltd.,SRIKAND
Lloyd Cements Ltd.,LLOYDCE
ICP Securities Ltd.,ICPSECL
MFL Housing Finance Ltd.,MFLHF
Gorani Industries Ltd.,GORANIN
KG Petrochem Ltd.,KGPETRO
UFM Industries Ltd,UFMINDL
Aadhaar Ventures India Limited,AADHAARVEN
KGN Industries Ltd.,KGNIND
Meyer Apparel Limited,MAL
Micron Chemicals Ltd.,MICRONC
Era Buildsys Limited,ERABUILD
Starcom Information Technology Ltd,STARCOM
Osian Industries ltd.,OSIAIND
Maral Finance Ltd.,MARALFN
Energy Products (India) Ltd.,ENEPRO
CENTERAC TECHNOLOGIES LIMITED,CENTERAC
Jyoti Poly-Vinyl Ltd.,JYOTPOL
Country Condo's Ltd,COUNCODOS
Sangam Health Care Products Ltd.,SANHP
Orosil Smiths India Limited,OROSMITHS
Raghava Estates and Properties Ltd,RAGHAVAEPL
TEJASSVI AAHARAM LIMITED,TEJASSVI
Rich Gold Finance And Securities Lt,RICHF
Canopy Securities & Finance Ltd.,CANOPYS
Avinash Information Technologies Ltd.,AVINF
Lincoln Pharmaceuticals ltd.,LINCOLN
Royal Industries Ltd.,ROYINDL
Silver Oak (India) Ltd.,SILVOAK
Tuscon Exports ltd.,TUSEXPO
PRAVEG LIMITED,PRAVEG
Suraj Ltd.,SURAJLTD
RocheesBreweries Ltd.,ROCHEBRE
Suvidha Infraestate Corporation Limited,SICL
Marico Limited,MARICO
ASR Agro Ltd.,ASRAGRO
Tokyo Finance Ltd.,TOKYOFIN
Southern Ispat and Energy Ltd,SOUISPAT
RFL International Ltd.,RFLINT
B.J.Duplex Boards Ltd.,BJDUP
Mahavir Industries Limited,MAHAVIRIND
Western Industries Ltd.,WERTERNIN
Vax Housing Finance Corporation Ltd,VAXHS
National General Industries Ltd.,NATGENI
Thirdwave Financial Intermediaries,THIRDFIN
Chhabra Spinners ltd.,CHABRASP
Chetak Spintex ltd.,CHETAKS
Cryptogen Agro Industries Ltd.,CRYPTAG
ABATE AS INDUSTRIES LIMITED,ABATEAS
TSL Industries Ltd.,TSL
Fairyland Amusement And Water Parks,GLOBALFIL
Hittco Tools Ltd.,HITTCO
Pashupati Cables Ltd.,PSCABLE
YUVRAAJ HYGIENE PRODUCTS LTD,YUVRAAJHPL
Mahavir Impex Ltd.,MAHAV
RR METALMAKERS INDIA LIMITED,RRMETAL
Vision Corporation Ltd.,VISIONCO
Nisu Fincap Ltd,NISUFIN
Classic Biotech & Exports Ltd.,CLASSICB
Bisil Plast Limited,BISIL
Inani Securities Ltd.,INANISEC
Anka India Ltd.,ANKIN
Indo-Asian Projects Limited,INDOASIAP
Tricom India Ltd.,TRICOM
Vaghani Techno-Build Limited,VAGHANI
Aris International Limited,ARISINT
Anand Credit Ltd.,ANANDCR
Mayur Leather Products Ltd.,MAYUR
AMERISE BIOSCIENCES LIMITED,AMERISE
CAT Technologies Ltd,CATECH
Ankur Drugs & Pharma Ltd,ANKURDRUGS
Frontline Financial Services Ltd.,FRONTFN
Advik Laboratories Ltd.,ADVIKLA
Karuturi Global Limited,KGL
Prithvi Exchange (India) Limited,PRITHVIEXCH
Mahavir Advanced Remedies Limited,MAHAREM
Seagull Leafin Ltd,SEAGUL
Rusoday Securities Ltd.,RUSODSE
Khyati Multimedia-Entertainment Ltd,KHYATI
Yantra Natural Resources Limited,YANTRA
Rainbow Foundations Ltd,RAINBOWF
Veronica Production Limited,VERONICAPRO
VSD Confin ltd.,VSDCONF
Vipul Securities Ltd.,VIPSECU
K.R.Foods Ltd.,KRFOODS
Super Domestic Machines Ltd.,SUPRDOM
R.S Corporation Ltd.,RSCORP
Shri Sainath Proteins Ltd.,SHSAINA
Tribhuvan Housing Ltd.,TRIBHSG
Rockline Project Ltd.,ROCPROJ
Lanyard Foods Ltd.,LANYARD
Vijay Remedies Ltd.,VIJYREM
Sun Infoways Ltd.,SUNINFO
Gold Multifab Ltd.,GOLDMUL
Prudential Stock & Securities Ltd.,PRUDSTK
Trilogic Digital Media Limited,TRILOGIC
Bluechip Stockspin Ltd.,BLUCHIP
Manmade Spinners (I) Ltd.,MANMADE
Shukun Construction Ltd.,SHUKUN
Tricom Fruit Products Limited,TRICOMFRU
Vidhi Specialty Food Ingredients Limited,VIDHIING
Anik Ship Breaking Industries Ltd.,ANIKSHIP
Bhagiradha Chemicals and Industries,BHAGCHEM
Alpha Graphic India Ltd.,ALPGRAPH
Zen Global Finance Ltd.,ZENGLOB
Shivani Vanaspati Ltd.,SHIVANA
GACM Technologies Limited,GATECH
HRB Flouriculture Ltd.,HRBFLOR
M.C.C.Investment & Leasing Co. Ltd.,MCCIL
Panchsheel Organic Ltd.,PANCHSHEEL
Menon Pistons Ltd.,MENNPIS
AMRIT BANASPATI COMPANY LTD,AMRITBANA
Skylid Telecommunication Ltd.,SKYLIDTE
Capsein Bio-Lab Ltd.,CAPSEINDM
Aarya Global Shares and Securities Ltd.,AARYAGLOBL
Mercury Fund Management Co. Ltd.,MERCFUND
Bafna Spinning Mills & Exports Ltd.,BAFNASP
Nicco Corporation Limited,NICCOCORQ
Prism Finance Ltd.,PRISMFN
SSP Polymer Industries Ltd.,SSPPOLY
Greencrest Financial Services Limited,GREENCREST
Silicon Valley Infotech Ltd.,SILICON
Gennex Laboratories Ltd,GENNEX
Pat-Parth Engineers Ltd.,PATPART
Sterling (Gujarat) Hospitals Ltd.,STGUJHS
Skylead Chemicals Ltd.,SKYCHEM
Hira Automobiles Ltd.,HIRAUTO
